publisher,d_publisher
Valve,1
Tripwire Interactive,0
Introversion Software,0
Topware Interactive,0
Ubisoft,1
Bethesda Softworks,1
id Software,1
Blazing Griffin Ltd.,1
Frozenbyte,0
Activision,1
Activision;Aspyr (Mac),1
Egosoft,0
Strategy First,0
"PopCap Games, Inc.",0
Rebellion,1
Double Fine Productions,0
2K,1
GSC Game World,0
SEGA,1
GSC World Publishing,0
Unknown Worlds Entertainment,0
LucasArts;Lucasfilm;Disney Interactive,1
LucasArts;Aspyr (Mac);Lucasfilm;Disney Interactive,1
Lucasfilm;LucasArts;Disney Interactive,1
Klei Entertainment,0
Funcom,0
Stunlock Studios,0
Capcom,1
Kalypso Media Digital,0
Io-Interactive A/S,1
Square Enix,1
IO Interactive A/S,1
"Topware Interactive, ACE",0
2K;Feral Interactive (Mac),1
Square Enix;Feral Interactive (Mac),1
CCP,1
SimBin,0
2K;Aspyr (Mac),1
2K;Aspyr (Mac);Aspyr (Linux),1
Bethesda-Softworks,1
Deep Silver,1
Perfect World Entertainment,1
Akella,0
SEGA;Feral Interactive (Mac);Feral Interactive (Linux),1
Codemasters,1
Rockstar Games,1
U.S. Army,1
"Epic Games, Inc.",1
1C Entertainment,1
SEGA;Feral Interactive (Mac/Linux),1
Warner Bros. Interactive Entertainment,1
Missing Link Games,0
SouthPeak Games,0
Hi-Rez Studios,1
Electronic Arts,1
Iceberg Interactive,0
Hidden Path Entertainment,0
Broken Rules,0
THQ Nordic,0
PikPok,0
CD PROJEKT RED;1C-SoftClub,1
2D BOY,0
TaleWorlds Entertainment,0
Frictional Games,0
ACE Team,0
Team17 Digital Ltd,1
Daybreak Game Company,0
"Bit Blot, LLC",0
Paradox Interactive,0
Number None,0
Telltale Games,0
LucasArts;Lucasfilm;Disney Interactive;Feral Interactive (Mac),1
Bohemia Interactive,1
SEGA;Feral Interactive (Mac),1
CI Games,0
Warner Bros. Interactive Entertainment;Feral Interactive (Mac),1
Two Tribes Publishing,0
Trion Worlds,0
"Arcen Games, LLC",0
Amanita Design,0
FireFly Studios,0
Devolver Digital,0
Nimbly Games,0
Runic Games,0
Fatshark,0
Codemasters;Feral Interactive (Mac),1
Microids,0
Playdead,0
Cold Beam Games,0
2K;Missing Link Games,1
Blendo Games,0
Eugen Systems,0
1C Entertainment;1C-SoftClub,1
Trendy Entertainment,0
800 North and Digital Ranch,0
Terry Cavanagh,0
Carpe Fulgur LLC,0
Wadjet Eye Games,0
11 bit studios,0
Coffee Stain Publishing,0
Next Dimension Game Adventures Ltd.,0
Dark Energy Digital Ltd.,0
Zachtronics,0
Final Form Games,0
The Sleeping Machine,0
Messhof,0
Sparpweed,0
Colibri Games,1
Murudai,0
Wizards of the Coast LLC,1
Mode 7,0
Microsoft Studios,1
Good Shepherd Entertainment,0
"Gaslamp Games, Inc.",0
"Grey Havens, LLC",0
38 Studios;Electronic Arts,1
Robot Entertainment,0
Daedalic Entertainment,0
Re-Logic,0
Supergiant Games,0
MinMax Games Ltd.,0
Zeboyd Games,0
Squid In A Box Ltd,0
Remedy Entertainment,0
Pocketwatch Games,0
Edmund McMillen,0
Little Orbit,0
D-Pad Studio,0
Deca Games,0
2K;Feral Interactive (Mac);Feral Interactive (Linux),1
"Nicalis, Inc.",0
Bethesda-Soft,1
Stardock Entertainment,0
Io-Interactive A/S;Feral Interactive (Mac),1
Square Enix;Feral Interactive (Mac);Feral Interactive (Linux),1
Capybara Games,0
Eden Industries,0
The Quantum Astrophysicists Guild,0
Ronimo Games,0
Rocket Bear Games,0
State of Play Games,0
Frogwares,0
Black Pants Studio,0
Suspicious Developments,0
Freebird Games,0
tinyBuild,0
Almost Human Games,0
XSEED Games,0
Ubisoft;Feral Interactive (Mac),1
Empty Clip Studios,0
"LucasArts;Disney Interactive;Lucasfilm;Aspyr (Mac, Linux)",1
Gaijin Entertainment Corporation,0
Focus Home Interactive,1
Alientrap,0
Muse Games,0
Capcom Co. Ltd,1
"Capcom U.S.A., Inc.",1
Love Conquers All Games,0
Born Ready Games,0
"Data Realms, LLC",0
Superflat Games,0
"Thekla, Inc.",0
Spooky Squid Games Inc.,0
Chucklefish,1
Gaijin Entertainment,0
NEXON Korea Corp. & NEXON America Inc.,1
"Standing Stone Games, LLC",0
Subset Games,0
Larian Studios,1
SuperVillain Studios,0
DrinkBox Studios,0
Marvelous,1
Aleksey Abramenko,0
Ankama Games,0
Reverb Triple XP;Circle 5,0
Reverb Publishing,0
NeocoreGames,0
Benjamin Rivers Inc.,0
Apogee Software,0
Gaijin Games,0
Starbreeze Publishing AB,1
Shiver Games,0
Might and Delight,0
Tribute Games Inc.,0
Torn Banner Studios,0
Twisted Tree,0
Transhuman Design,0
Demruth,0
Crate Entertainment,0
SkyGoblin,0
Private Division,0
Bithell Games,0
Sos Sosowski,0
Tomorrow Corporation,0
505 Games,0
Galactic Cafe,0
Abbey Games,0
New World Interactive,0
HandyGames;Black Forest Games,0
Running With Scissors,0
Goldhawk Interactive,0
Young Horses,0
Trapdoor,0
Adult Swim Games,1
Puny Human,0
Minority Media,0
Tiger Style,0
Artifice Studio,0
SCS Software,0
EightyEightGames,0
Beamdog,0
Iron Tower Studio,0
Metanet Software Inc.,0
Digital Extremes,1
AGM PLAYISM,0
Zombie Studios,0
Threaks,0
Facepalm Games,0
Snowbird Games,0
Fullbright,0
Shiro Games,0
Refract,0
Bossa Studios,0
Lo-Fi Games,0
@unepic_fran,0
Warner Bros. Interactive Entertainment;Feral Interactive (Mac);Feral Interactive (Linux),1
Slightly Mad Studios;BANDAI NAMCO Entertainment,1
BANDAI NAMCO Entertainment,1
Analgesic Productions,0
Nival,0
Konami Digital Entertainment,1
Dylan Fitterer,0
"BANDAI NAMCO Entertainment;FromSoftware, Inc",1
Screenwave Media,0
Red Thread Games,0
Versus Evil,0
Nightdive Studios,0
Red Barrels,1
"Monochrome, Inc",0
The Behemoth,0
Grinding Gear Games,1
3909,0
Crackshell,0
Techland Publishing,0
Greenheart Games,0
DoubleBear Productions,0
inXile Entertainment,0
Ludosity,0
Zen Studios,0
Cellar Door Games,0
Reverb Triple XP,0
Full Control,0
Vlambeer,0
Endnight Games Ltd,0
Carlsen Games,0
M2H,0
Big Robot Ltd,0
Shining Rock Software LLC,0
Tate Multimedia,0
1C-777,0
Gearbox Publishing;Aspyr (Mac),1
Kunos Simulazioni,0
Iron Galaxy,0
Lucky Pause,0
Marvelous;Autumn Games,1
Positech Games,0
Ragequit Corporation,0
