"","id","name","release_date","publisher","categories","user_rating","expert_rating","game_mode"
"1",10,"Counter-Strike","2000-11-01","Valve","Multi-player Online Multi-Player Local Multi-Player",0.97,0.88,0
"2",30,"Day of Defeat","2003-05-01","Valve","Multi-player",0.9,0.79,0
"3",70,"Half-Life","1998-11-08","Valve","Single-player Multi-player Online Multi-Player",0.96,0.96,0
"4",80,"Counter-Strike: Condition Zero","2004-03-01","Valve","Single-player Multi-player",0.89,0.65,0
"5",130,"Half-Life: Blue Shift","2001-06-01","Valve","Single-player",0.9,0.71,1
"6",220,"Half-Life 2","2004-11-16","Valve","Single-player",0.97,0.96,1
"7",240,"Counter-Strike: Source","2004-11-01","Valve","Multi-player  Multiplayer",0.96,0.88,0
"8",300,"Day of Defeat: Source","2010-07-12","Valve","Multi-player  Multiplayer",0.9,0.8,0
"9",380,"Half-Life 2: Episode One","2006-06-01","Valve","Single-player",0.94,0.87,1
"10",400,"Portal","2007-10-10","Valve","Single-player",0.98,0.9,1
"11",420,"Half-Life 2: Episode Two","2007-10-10","Valve","Single-player",0.95,0.9,1
"12",440,"Team Fortress 2","2007-10-10","Valve","Multi-player  Multiplayer",0.94,0.92,0
"13",500,"Left 4 Dead","2008-11-17","Valve","Single-player Multi-player",0.95,0.89,0
"14",550,"Left 4 Dead 2","2009-11-19","Valve","Single-player Multi-player",0.97,0.89,0
"15",570,"Dota 2","2013-07-09","Valve","Multi-player",0.86,0.9,0
"16",620,"Portal 2","2011-04-18","Valve","Single-player",0.99,0.95,1
"17",630,"Alien Swarm","2010-07-19","Valve","Single-player Multi-player",0.95,0.77,0
"18",730,"Counter-Strike: Global Offensive","2012-08-21","Valve","Multi-player",0.87,0.83,0
"19",1200,"Red Orchestra: Ostfront 41-45","2006-03-14","Tripwire Interactive","Multi-player",0.88,0.81,0
"20",1250,"Killing Floor","2009-05-14","Tripwire Interactive","Single-player Multi-player   Multiplayer",0.95,0.72,0
"21",1510,"Uplink","2006-08-23","Introversion Software","Single-player",0.91,0.75,1
"22",1520,"DEFCON","2006-09-29","Introversion Software","Single-player Multi-player",0.86,0.84,0
"23",1930,"Two Worlds Epic Edition","2009-04-30","Topware Interactive","Single-player Multi-player Online Multi-Player   Multiplayer",0.72,0.65,0
"24",2100,"Dark Messiah of Might & Magic","2006-10-25","Ubisoft","Single-player Multi-player",0.93,0.72,0
"25",2210,"Quake IV","2011-08-04","Bethesda Softworks","Single-player Multi-player",0.84,0.81,0
"26",2300,"DOOM II","2007-08-03","id Software","Single-player Multi-player",0.93,0.83,0
"27",2310,"QUAKE","2007-08-03","id Software","Single-player Multi-player",0.95,0.94,0
"28",2400,"The Ship: Murder Party","2006-07-11","Blazing Griffin Ltd.","Single-player Multi-player",0.86,0.76,0
"29",2500,"Shadowgrounds","2006-05-08","Frozenbyte","Single-player",0.8,0.74,1
"30",2600,"Vampire: The Masquerade - Bloodlines","2007-03-22","Activision","Single-player",0.94,0.8,1
"31",2620,"Call of Duty®","2006-10-13","Activision","Single-player Multi-player",0.93,0.91,0
"32",2630,"Call of Duty® 2","2006-10-13","Activision;Aspyr (Mac)","Single-player Multi-player",0.91,0.86,0
"33",2820,"X3: Terran Conflict","2008-10-16","Egosoft","Single-player",0.86,0.73,1
"34",2870,"X Rebirth","2013-11-15","Egosoft","Single-player",0.41,0.33,1
"35",2990,"FlatOut 2™","2006-12-21","Strategy First","Single-player",0.94,0.76,1
"36",3590,"Plants vs. Zombies GOTY Edition","2009-05-05","PopCap Games, Inc.","Single-player",0.97,0.87,1
"37",3700,"Sniper Elite","2009-07-16","Rebellion","Single-player",0.76,0.76,1
"38",3720,"Evil Genius","2009-06-22","Rebellion","Single-player",0.95,0.75,1
"39",3830,"Psychonauts","2006-10-11","Double Fine Productions","Single-player",0.95,0.87,1
"40",3900,"Sid Meier's Civilization® IV","2006-10-25","2K","Single-player Multi-player",0.92,0.94,0
"41",3910,"Sid Meier's Civilization® III Complete","2006-10-25","2K","Single-player Multi-player",0.86,0.9,0
"42",3920,"Sid Meier's Pirates!","2005-07-11","2K","Single-player",0.93,0.88,1
"43",4500,"S.T.A.L.K.E.R.: Shadow of Chernobyl","2007-03-20","GSC Game World","Single-player Multi-player",0.95,0.82,0
"44",4560,"Company of Heroes - Legacy Edition","2007-07-17","SEGA","Single-player Multi-player",0.94,0.93,0
"45",4570,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition","2007-08-07","SEGA","Single-player Multi-player",0.94,0.86,0
"46",4580,"Warhammer® 40,000: Dawn of War® - Dark Crusade","2007-08-07","SEGA","Single-player Multi-player",0.96,0.87,0
"47",4720,"Condemned: Criminal Origins","2012-10-29","SEGA","Single-player",0.85,0.78,1
"48",4760,"Rome: Total War™ - Collection","2007-08-28","SEGA","Single-player Multi-player",0.93,0.92,0
"49",4850,"Cossacks: Back to War","2010-09-02","GSC World Publishing","Single-player Multi-player",0.88,0.6,0
"50",4920,"Natural Selection 2","2012-10-30","Unknown Worlds Entertainment","Multi-player Online Multi-Player",0.85,0.8,0
"51",6000,"STAR WARS™ Republic Commando™","2009-07-08","LucasArts;Lucasfilm;Disney Interactive","Single-player Multi-player Local Multi-Player",0.94,0.78,0
"52",6020,"STAR WARS™ Jedi Knight - Jedi Academy™","2009-09-16","LucasArts;Aspyr (Mac);Lucasfilm;Disney Interactive","Single-player Online Multi-Player Local Multi-Player",0.95,0.81,0
"53",6030,"STAR WARS™ Jedi Knight II - Jedi Outcast™","2009-09-16","LucasArts;Aspyr (Mac);Lucasfilm;Disney Interactive","Single-player Online Multi-Player Local Multi-Player",0.9,0.89,0
"54",6060,"Star Wars: Battlefront 2 (Classic, 2005)","2009-07-08","Lucasfilm;LucasArts;Disney Interactive","Single-player Multi-player Online Multi-Player",0.92,0.78,0
"55",6120,"Shank","2010-10-25","Klei Entertainment","Single-player",0.89,0.67,1
