"","steam_ds.appid"
"1",10
"2",20
"3",30
"4",40
"5",50
"6",60
"7",70
"8",80
"9",130
"10",220
"11",240
"12",280
"13",300
"14",320
"15",340
"16",360
"17",380
"18",400
"19",420
"20",440
"21",500
"22",550
"23",570
"24",620
"25",630
"26",730
"27",1200
"28",1250
"29",1510
"30",1520
"31",1840
"32",1930
"33",2100
"34",2200
"35",2210
"36",2270
"37",2280
"38",2300
"39",2310
"40",2320
"41",2400
"42",2500
"43",2600
"44",2620
"45",2630
"46",2820
"47",2870
"48",2990
"49",3480
"50",3590
"51",3700
"52",3720
"53",3730
"54",3830
"55",3900
"56",3910
"57",3920
"58",4000
"59",4500
"60",4560
"61",4570
"62",4580
"63",4700
"64",4720
"65",4760
"66",4850
"67",4920
"68",6000
"69",6020
"70",6030
"71",6060
"72",6120
"73",6200
"74",6220
"75",6310
"76",6370
"77",6550
"78",6800
"79",6830
"80",6850
"81",6860
"82",6880
"83",6900
"84",6910
"85",6920
"86",6980
"87",7000
"88",7200
"89",7510
"90",7520
"91",7600
"92",7760
"93",7940
"94",8000
"95",8080
"96",8140
"97",8170
"98",8190
"99",8500
"100",8600
"101",8800
"102",8870
"103",8930
"104",9010
"105",9050
"106",9200
"107",9350
"108",9420
"109",9450
"110",9480
"111",9880
"112",9900
"113",10090
"114",10150
"115",10180
"116",10220
"117",10500
"118",10680
"119",11020
"120",11280
"121",11450
"122",12100
"123",12110
"124",12120
"125",12130
"126",12140
"127",12150
"128",12200
"129",12210
"130",12220
"131",12320
"132",12360
"133",12710
"134",12810
"135",12830
"136",13140
"137",13210
"138",13230
"139",13240
"140",13250
"141",13520
"142",13560
"143",13570
"144",15100
"145",15120
"146",15130
"147",15170
"148",15320
"149",15620
"150",15700
"151",16450
"152",16720
"153",16730
"154",17080
"155",17300
"156",17330
"157",17390
"158",17410
"159",17430
"160",17450
"161",17460
"162",17470
"163",17480
"164",17500
"165",17570
"166",17710
"167",18500
"168",18700
"169",19900
"170",19980
"171",20510
"172",20530
"173",20540
"174",20570
"175",20820
"176",20900
"177",20920
"178",21000
"179",21090
"180",21100
"181",21130
"182",21690
"183",21980
"184",22000
"185",22100
"186",22120
"187",22180
"188",22200
"189",22230
"190",22300
"191",22320
"192",22330
"193",22350
"194",22370
"195",22380
"196",22600
"197",22610
"198",23490
"199",24010
"200",24200
"201",24240
"202",24420
"203",24720
"204",24740
"205",24780
"206",24790
"207",24800
"208",24840
"209",24870
"210",24960
"211",24980
"212",25000
"213",25800
"214",25830
"215",25890
"216",25900
"217",26800
"218",28000
"219",29800
"220",31270
"221",32360
"222",32370
"223",32380
"224",32400
"225",32430
"226",32440
"227",32470
"228",32500
"229",33120
"230",33230
"231",33460
"232",33680
"233",33900
"234",33930
"235",34010
"236",34030
"237",34830
"238",34870
"239",34900
"240",35000
"241",35130
"242",35140
"243",35450
"244",35700
"245",35720
"246",38400
"247",38410
"248",38420
"249",38600
"250",38700
"251",38720
"252",38740
"253",39000
"254",39120
"255",39140
"256",39150
"257",39190
"258",39200
"259",39210
"260",39500
"261",39510
"262",39680
"263",39690
"264",39800
"265",40100
"266",40300
"267",40380
"268",40390
"269",40400
"270",40700
"271",40950
"272",40970
"273",40990
"274",41000
"275",41070
"276",41100
"277",41300
"278",41500
"279",41700
"280",42120
"281",42670
"282",42700
"283",42910
"284",42960
"285",44350
"286",45100
"287",45700
"288",45740
"289",45750
"290",45760
"291",45770
"292",46500
"293",46510
"294",47400
"295",47410
"296",47700
"297",47780
"298",47790
"299",47810
"300",47870
"301",47890
"302",48000
"303",48110
"304",48190
"305",48240
"306",48700
"307",48720
"308",49520
"309",49600
"310",50130
"311",50300
"312",55040
"313",55100
"314",55110
"315",55140
"316",55150
"317",55230
"318",57300
"319",57640
"320",57690
"321",57740
"322",57900
"323",58610
"324",61700
"325",63710
"326",64000
"327",65540
"328",65790
"329",65800
"330",65930
"331",65980
"332",67370
"333",70000
"334",70300
"335",70400
"336",70600
"337",71230
"338",71340
"339",72850
"340",78000
"341",80310
"342",91200
"343",91600
"344",91700
"345",91900
"346",92000
"347",92100
"348",92800
"349",94200
"350",94300
"351",94400
"352",95400
"353",96000
"354",96100
"355",97000
"356",97330
"357",98200
"358",98300
"359",98400
"360",98800
"361",99300
"362",99900
"363",99910
"364",102500
"365",102600
"366",102840
"367",104200
"368",104900
"369",105000
"370",105450
"371",105600
"372",107100
"373",107200
"374",107300
"375",107310
"376",107410
"377",107600
"378",108200
"379",108600
"380",108710
"381",108800
"382",109600
"383",110800
"384",113020
"385",113200
"386",113400
"387",113420
"388",115100
"389",115110
"390",115320
"391",115800
"392",200010
"393",200170
"394",200210
"395",200260
"396",200510
"397",200710
"398",200900
"399",201230
"400",201510
"401",201570
"402",201790
"403",201810
"404",201870
"405",202200
"406",202750
"407",202970
"408",203140
"409",203160
"410",203290
"411",203630
"412",203750
"413",203770
"414",203830
"415",204030
"416",204060
"417",204100
"418",204180
"419",204240
"420",204300
"421",204340
"422",204360
"423",204530
"424",204630
"425",204880
"426",205020
"427",205100
"428",205230
"429",205650
"430",205910
"431",205950
"432",206190
"433",206210
"434",206420
"435",206440
"436",206480
"437",206500
"438",207080
"439",207140
"440",207170
"441",207230
"442",207350
"443",207490
"444",207690
"445",207750
"446",208140
"447",208200
"448",208500
"449",208520
"450",208580
"451",208650
"452",208670
"453",208730
"454",208750
"455",209000
"456",209080
"457",209100
"458",209120
"459",209160
"460",209370
"461",209540
"462",209650
"463",209670
"464",209830
"465",210770
"466",210970
"467",211160
"468",211260
"469",211400
"470",211440
"471",211500
"472",211600
"473",211820
"474",212010
"475",212030
"476",212070
"477",212160
"478",212390
"479",212500
"480",212630
"481",212680
"482",212800
"483",213330
"484",213610
"485",213650
"486",213670
"487",213850
"488",214170
"489",214250
"490",214340
"491",214360
"492",214420
"493",214490
"494",214590
"495",214770
"496",214830
"497",214870
"498",214950
"499",214970
"500",215080
"501",215160
"502",215280
"503",215470
"504",215510
"505",215530
"506",215670
"507",215690
"508",215830
"509",216150
"510",216890
"511",216910
"512",217140
"513",217200
"514",217690
"515",217750
"516",217920
"517",218060
"518",218230
"519",218410
"520",218620
"521",218640
"522",218680
"523",218740
"524",218820
"525",219150
"526",219640
"527",219680
"528",219780
"529",219830
"530",219890
"531",219910
"532",219990
"533",220090
"534",220160
"535",220200
"536",220240
"537",220260
"538",220440
"539",220700
"540",220740
"541",220780
"542",220820
"543",220860
"544",221020
"545",221040
"546",221100
"547",221260
"548",221380
"549",221540
"550",221640
"551",221680
"552",221810
"553",221910
"554",222480
"555",222730
"556",222750
"557",222880
"558",222940
"559",222980
"560",223100
"561",223220
"562",223470
"563",223710
"564",223750
"565",223810
"566",223830
"567",224260
"568",224460
"569",224480
"570",224500
"571",224600
"572",224760
"573",224820
"574",224920
"575",224960
"576",225080
"577",225160
"578",225260
"579",225280
"580",225420
"581",225540
"582",225600
"583",225640
"584",225840
"585",226580
"586",226720
