full_url,metascore
https://steamspy.com/app/10, 88% 
https://steamspy.com/app/20,NA
https://steamspy.com/app/30, 79% 
https://steamspy.com/app/40,NA
https://steamspy.com/app/50,NA
https://steamspy.com/app/60,NA
https://steamspy.com/app/70, 96% 
https://steamspy.com/app/80, 65% 
https://steamspy.com/app/130, 71% 
https://steamspy.com/app/220, 96% 
https://steamspy.com/app/240, 88% 
https://steamspy.com/app/280,NA
https://steamspy.com/app/300, 80% 
https://steamspy.com/app/320,NA
https://steamspy.com/app/340,NA
https://steamspy.com/app/360,NA
https://steamspy.com/app/380, 87% 
https://steamspy.com/app/400, 90% 
https://steamspy.com/app/420, 90% 
https://steamspy.com/app/440, 92% 
https://steamspy.com/app/500, 89% 
https://steamspy.com/app/550, 89% 
https://steamspy.com/app/570, 90% 
https://steamspy.com/app/620, 95% 
https://steamspy.com/app/630, 77% 
https://steamspy.com/app/730, 83% 
https://steamspy.com/app/1200, 81% 
https://steamspy.com/app/1250, 72% 
https://steamspy.com/app/1510, 75% 
https://steamspy.com/app/1520, 84% 
https://steamspy.com/app/1840,NA
https://steamspy.com/app/1930, 65% 
https://steamspy.com/app/2100, 72% 
https://steamspy.com/app/2200,NA
https://steamspy.com/app/2210, 81% 
https://steamspy.com/app/2270,NA
https://steamspy.com/app/2280,NA
https://steamspy.com/app/2300, 83% 
https://steamspy.com/app/2310, 94% 
https://steamspy.com/app/2320,NA
https://steamspy.com/app/2400, 76% 
https://steamspy.com/app/2500, 74% 
https://steamspy.com/app/2600, 80% 
https://steamspy.com/app/2620, 91% 
https://steamspy.com/app/2630, 86% 
https://steamspy.com/app/2820, 73% 
https://steamspy.com/app/2870, 33% 
https://steamspy.com/app/2990, 76% 
https://steamspy.com/app/3480,NA
https://steamspy.com/app/3590, 87% 
https://steamspy.com/app/3700, 76% 
https://steamspy.com/app/3720, 75% 
https://steamspy.com/app/3730,NA
https://steamspy.com/app/3830, 87% 
https://steamspy.com/app/3900, 94% 
https://steamspy.com/app/3910, 90% 
https://steamspy.com/app/3920, 88% 
https://steamspy.com/app/4000,NA
https://steamspy.com/app/4500, 82% 
https://steamspy.com/app/4560, 93% 
https://steamspy.com/app/4570, 86% 
https://steamspy.com/app/4580, 87% 
https://steamspy.com/app/4700,NA
https://steamspy.com/app/4720, 78% 
