id,name,owners,numbers
10,Counter-Strike,"11,100,000",11100000
30,Day of Defeat,"6,400,000",6400000
70,Half-Life,"9,300,000",9300000
80,Counter-Strike: Condition Zero,"10,500,000",10500000
130,Half-Life: Blue Shift,"7,700,000",7700000
220,Half-Life 2,"12,800,000",12800000
240,Counter-Strike: Source,"13,000,000",13000000
300,Day of Defeat: Source,"6,700,000",6700000
380,Half-Life 2: Episode One,"10,700,000",10700000
400,Portal,"13,300,000",13400000
420,Half-Life 2: Episode Two,"10,600,000",10600000
440,Team Fortress 2,"20,000,000",20000000
500,Left 4 Dead,"8,600,000",8600000
550,Left 4 Dead 2,"20,100,000",20100000
570,Dota 2,"80,500,000",80500000
620,Portal 2,"16,600,000",16600000
630,Alien Swarm,"5,500,000",5500000
730,Counter-Strike: Global Offensive,"68,800,000",68800000
1200,Red Orchestra: Ostfront 41-45,"2,100,000",2100000
1250,Killing Floor,"11,700,000",11700000
1510,Uplink,"2,600,000",2600000
1520,DEFCON,"2,800,000",2800000
1930,Two Worlds Epic Edition,"4,300,000",4300000
2100,Dark Messiah of Might & Magic,"2,100,000",2100000
2210,Quake IV,"910,000",910000
2300,DOOM II,"2,000,000",2000000
2310,QUAKE,"1,700,000",1700000
2400,The Ship: Murder Party,"5,400,000",5400000
2500,Shadowgrounds,"2,600,000",2600000
2600,Vampire: The Masquerade - Bloodlines,"1,600,000",1600000
2620,Call of Duty®,"680,000",680000
2630,Call of Duty® 2,"950,000",950000
2820,X3: Terran Conflict,"1,400,000",1400000
2870,X Rebirth,"400,000",400000
2990,FlatOut 2™,"1,800,000",1800000
3590,Plants vs. Zombies GOTY Edition,"3,900,000",3900000
3700,Sniper Elite,"2,900,000",2900000
3720,Evil Genius,"1,800,000",1800000
3830,Psychonauts,"7,400,000",7400000
3900,Sid Meier's Civilization® IV,"2,900,000",2900000
3910,Sid Meier's Civilization® III Complete,"6,700,000",6700000
3920,Sid Meier's Pirates!,"2,400,000",2400000
4500,S.T.A.L.K.E.R.: Shadow of Chernobyl,"4,000,000",4000000
4560,Company of Heroes - Legacy Edition,"6,700,000",6700000
4570,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition","4,400,000",4400000
