"","publisher"
"1","Valve"
"2","Tripwire Interactive"
"3","Introversion Software"
"4","Topware Interactive"
"5","Ubisoft"
"6","Bethesda Softworks"
"7","id Software"
"8","Blazing Griffin Ltd."
"9","Frozenbyte"
"10","Activision"
"11","Activision;Aspyr (Mac)"
"12","Egosoft"
"13","Strategy First"
"14","PopCap Games, Inc."
"15","Rebellion"
"16","Double Fine Productions"
"17","2K"
"18","GSC Game World"
"19","SEGA"
"20","GSC World Publishing"
"21","Unknown Worlds Entertainment"
"22","LucasArts;Lucasfilm;Disney Interactive"
"23","LucasArts;Aspyr (Mac);Lucasfilm;Disney Interactive"
"24","Lucasfilm;LucasArts;Disney Interactive"
"25","Klei Entertainment"
"26","Funcom"
"27","Stunlock Studios"
"28","Capcom"
"29","Kalypso Media Digital"
"30","Io-Interactive A/S"
"31","Square Enix"
"32","IO Interactive A/S"
"33","Topware Interactive, ACE"
"34","2K;Feral Interactive (Mac)"
"35","Square Enix;Feral Interactive (Mac)"
"36","CCP"
"37","SimBin"
"38","2K;Aspyr (Mac)"
"39","2K;Aspyr (Mac);Aspyr (Linux)"
"40","Bethesda-Softworks"
"41","Deep Silver"
"42","Perfect World Entertainment"
"43","Akella"
"44","SEGA;Feral Interactive (Mac);Feral Interactive (Linux)"
"45","Codemasters"
"46","Rockstar Games"
"47","U.S. Army"
"48","Epic Games, Inc."
"49","1C Entertainment"
"50","SEGA;Feral Interactive (Mac/Linux)"
"51","Warner Bros. Interactive Entertainment"
"52","Missing Link Games"
"53","SouthPeak Games"
"54","Hi-Rez Studios"
"55","Electronic Arts"
"56","Iceberg Interactive"
"57","Hidden Path Entertainment"
"58","Broken Rules"
"59","THQ Nordic"
"60","PikPok"
"61","CD PROJEKT RED;1C-SoftClub"
"62","2D BOY"
"63","TaleWorlds Entertainment"
"64","Frictional Games"
"65","ACE Team"
"66","Team17 Digital Ltd"
"67","Daybreak Game Company"
"68","Bit Blot, LLC"
"69","Paradox Interactive"
"70","Number None"
"71","Telltale Games"
"72","LucasArts;Lucasfilm;Disney Interactive;Feral Interactive (Mac)"
"73","Bohemia Interactive"
"74","SEGA;Feral Interactive (Mac)"
"75","CI Games"
"76","Warner Bros. Interactive Entertainment;Feral Interactive (Mac)"
"77","Two Tribes Publishing"
"78","Trion Worlds"
"79","Arcen Games, LLC"
"80","Amanita Design"
"81","FireFly Studios"
"82","Devolver Digital"
"83","Nimbly Games"
"84","Runic Games"
"85","Fatshark"
"86","Codemasters;Feral Interactive (Mac)"
"87","Microids"
"88","Playdead"
"89","Cold Beam Games"
"90","2K;Missing Link Games"
"91","Blendo Games"
"92","Eugen Systems"
"93","1C Entertainment;1C-SoftClub"
"94","Trendy Entertainment"
"95","800 North and Digital Ranch"
"96","Terry Cavanagh"
"97","Carpe Fulgur LLC"
"98","Wadjet Eye Games"
"99","11 bit studios"
"100","Coffee Stain Publishing"
"101","Next Dimension Game Adventures Ltd."
"102","Dark Energy Digital Ltd."
"103","Zachtronics"
"104","Final Form Games"
"105","The Sleeping Machine"
"106","Messhof"
"107","Sparpweed"
