"","publisher","id","owners","name","release_date","categories","price","user_rating","expert_rating","game_mode","d_publisher"
"1","@unepic_fran",233980,2100000,"UnEpic",2014,"Single-player Multi-player",9.99,0.93,0.68,0,0
"2","10tons Ltd",262830,1400000,"Crimsonland",2014,"Single-player",10.59,0.9,0.68,1,0
"3","11 bit studios",91200,4400000,"Anomaly: Warzone Earth",2011,"Single-player",7.99,0.87,0.8,1,0
"4","11 bit studios",606150,2200000,"Moonlighter",2018,"Single-player",15.49,0.78,0.74,1,0
"5","11 bit studios",461950,1400000,"Beat Cop",2017,"Single-player",11.49,0.83,0.71,1,0
"6","11 bit studios",323190,3400000,"Frostpunk",2018,"Single-player",24.99,0.88,0.84,1,0
"7","11 bit studios",282070,5400000,"This War of Mine",2014,"Single-player",14.99,0.95,0.83,1,0
"8","1C-777",244050,1100000,"Rise of Flight United",2013,"Single-player Multi-player",0,0.52,0.77,0,0
"9","1C Entertainment",25900,2e+06,"King's Bounty: The Legend",2009,"Single-player",4.99,0.9,0.79,1,1
"10","1C Entertainment",244450,2300000,"Men of War: Assault Squad 2",2014,"Single-player Multi-player",19.99,0.85,0.68,0,1
"11","1C Entertainment",15320,1700000,"IL-2 Sturmovik: 1946",2008,"Single-player Multi-player",8.69,0.87,0.86,0,1
"12","1C Entertainment",620590,2e+06,"Ancestors Legacy",2018,"Single-player Multi-player",27.79,0.74,0.77,0,1
"13","1C Entertainment;1C-SoftClub",64000,2300000,"Men of War: Assault Squad",2011,"Single-player Multi-player",7.19,0.87,0.77,0,1
"14","1C Game Studios",307960,280000,"IL-2 Sturmovik: Battle of Stalingrad",2014,"Single-player Multi-player",39.99,0.71,0.74,0,1
"15","2D BOY",22000,3500000,"World of Goo",2008,"Single-player",6.99,0.94,0.9,1,0
"16","2K",841370,420000,"NBA 2K19",2018,"Single-player Multi-player",39.99,0.28,0.76,0,1
"17","2K",3900,2900000,"Sid Meier's Civilization® IV",2006,"Single-player Multi-player",9.99,0.92,0.94,0,1
"18","2K",3910,6700000,"Sid Meier's Civilization® III Complete",2006,"Single-player Multi-player",2.99,0.86,0.9,0,1
"19","2K",385760,1200000,"NBA 2K17",2016,"Single-player Multi-player",39.99,0.53,0.9,0,1
"20","2K",385730,870000,"WWE 2K16",2016,"Single-player Multi-player",34.99,0.63,0.74,0,1
"21","2K",65930,7600000,"The Bureau: XCOM Declassified",2013,"Single-player",14.99,0.7,0.66,1,1
"22","2K",57900,2900000,"Duke Nukem Forever",2011,"Single-player Multi-player",14.99,0.66,0.54,0,1
"23","2K",577800,4e+05,"NBA 2K18",2017,"Single-player Multi-player",39.99,0.29,0.87,0,1
"24","2K",8800,2700000,"Civilization IV: Beyond the Sword",2007,"Single-player",5.99,0.95,0.86,1,1
"25","2K",3920,2400000,"Sid Meier's Pirates!",2005,"Single-player",5.99,0.93,0.88,1,1
"26","2K",67370,8400000,"The Darkness II",2012,"Single-player",19.99,0.91,0.77,1,1
"27","2K",394230,1900000,"Battleborn",2016,"Single-player Multi-player Online Multi-Player",0,0.62,0.69,0,1
"28","2K",40990,930000,"Mafia",2002,"Single-player",7.99,0.91,0.88,1,1
"29","2K;Aspyr (Mac)",360430,3500000,"Mafia III",2016,"Single-player",34.99,0.49,0.62,1,1
"30","2K;Aspyr (Mac)",8870,9e+06,"BioShock Infinite",2013,"Single-player",19.99,0.95,0.94,1,1
"31","2K;Aspyr (Mac);Aspyr (Linux)",261640,9400000,"Borderlands: The Pre-Sequel",2014,"Single-player",29.99,0.77,0.75,1,1
"32","2K;Aspyr (Mac);Aspyr (Linux)",8930,9700000,"Sid Meier's Civilization® V",2010,"Single-player Multi-player",19.99,0.96,0.9,0,1
"33","2K;Aspyr (Mac);Aspyr (Linux)",289070,5300000,"Sid Meier’s Civilization® VI",2016,"Single-player Multi-player",49.99,0.68,0.88,0,1
"34","2K;Aspyr (Mac);Aspyr (Linux)",49520,1.5e+07,"Borderlands 2",2012,"Single-player",19.99,0.93,0.89,1,1
"35","2K;Aspyr (Mac);Aspyr (Linux)",65980,1900000,"Sid Meier's Civilization®: Beyond Earth™",2014,"Single-player Multi-player",29.99,0.54,0.81,0,1
"36","2K;Feral Interactive (Mac)",409710,8300000,"BioShock™ Remastered",2016,"Single-player",9.99,0.63,0.8,1,1
"37","2K;Feral Interactive (Mac)",7600,1500000,"Sid Meier's Railroads!",2007,"Single-player Multi-player",5.99,0.66,0.77,0,1
"38","2K;Feral Interactive (Mac)",50130,5400000,"Mafia II",2011,"Single-player",19.99,0.94,0.77,1,1
"39","2K;Feral Interactive (Mac);Feral Interactive (Linux)",200510,6200000,"XCOM: Enemy Unknown",2012,"Single-player Multi-player  Multiplayer",14.99,0.95,0.89,0,1
"40","2K;Feral Interactive (Mac);Feral Interactive (Linux)",268500,4600000,"XCOM® 2",2016,"Single-player Multi-player  Multiplayer",34.99,0.8,0.88,0,1
"41","2K;Missing Link Games",50300,9200000,"Spec Ops: The Line",2012,"Single-player Multi-player  Multiplayer",19.99,0.93,0.76,0,1
"42","3 Sprockets",250560,680000,"Fight The Dragon",2014,"Single-player Multi-player    Multiplayer",6.99,0.8,0.76,0,0
"43","34BigThings srl",517710,1300000,"Redout: Enhanced Edition",2016,"Single-player Multi-player Online Multi-Player",29.99,0.87,0.81,0,0
"44","38 Studios;Electronic Arts",102500,1800000,"Kingdoms of Amalur: Reckoning™",2012,"Single-player",19.99,0.88,0.81,1,1
"45","3909",653530,650000,"Return of the Obra Dinn",2018,"Single-player",15.49,0.97,0.89,1,0
"46","3909",239030,4900000,"Papers, Please",2013,"Single-player",6.99,0.96,0.85,1,0
